WeeklyWork,Urgent work,Computer,Mon | Tues | Wed | Thurs,17:31,22:37,3,Doing,2022/2/16
WeeklyWork,Urgent work,Computer2,Tues | Mon | Wed | Sun,15:31,21:32,3,Doing,2021/2/15
WeeklyWork,Work Fee,Data-1,Mon | Fri,15:30,17:0,3,Finished,2021/1/15
WeeklyWork,Urgent work,pao11,Mon | Tues | Wed,13:30,22:35,3,Doing,2021/1/14
WeeklyWork,New Year,nut12,Mon | Tues,16:32,23:36,3,Doing,2022/3/17
WeeklyWork,AID Work,poom13,Mon | Wed,12:32,23:36,3,Doing,2021/2/15
WeeklyWork,Urgent work,pip14,Mon | Wed,14:32,23:36,3,Doing,2021/2/14
WeeklyWork,New Year,pheem15,Mon | Tues,00:00,21:35,3,Doing,2021/2/14
WeeklyWork,Urgent work,lol,Tues | Mon | Wed,19:31,22:35,3,Doing,2022/2/17
WeeklyWork,Urgent work,tis1,Mon | Tues | Wed | Sun,20:33,21:35,3,Doing,2021/2/7
